"Source Address","Source Port","Destination Address","Destination Port","SSRC","Start Time","Duration","Payload","Packets","Lost","Min Delta (ms)","Mean Delta (ms)","Max Delta (ms)","Min Jitter","Mean Jitter","Max Jitter","Status","SSRC formatted","Lost percentage"
"95.217.11.235",12182,"195.20.6.51",9290,939099523,0.6195620000000001,2.13056,"H264",4403,30,0.03700000000003456,24.13644097931687,71.04100000000017,0.0030624999999986358,0.5286272135650951,1.2762826850470352,"Problem","0x37f98583","0.68"
"95.217.11.235",15802,"195.20.6.51",7228,103390781,0.439582,2.340132,"g711U",2286,0,15.229000000000042,20.001128205128197,24.701000000000022,0.0033124999999998295,0.16501233260341236,0.6156639247028493,"Problem","0x6299e3d","0.00"
"195.20.6.51",9290,"95.217.11.235",12182,591408209,0.619342,45.738921000000005,"H264",2070,2,0,31.304739903482407,129.63400000000001,0,0.7175611447548668,2.992456945908751,"Problem","0x23402c51","0.10"
"195.20.6.51",7228,"95.217.11.235",15802,3310321513,0.35328,45.989727,"g711U",2288,1,0,20.109194140795783,230.6800000000003,0.0031250000000007105,6.088850655880565,10.498841856237041,"Problem","0xc54f7f69","0.04"
